TrdDt,石油石化,煤炭,有色金属,电力及公用事业,钢铁,基础化工,建筑,建材,轻工制造,机械,电力设备,国防军工,汽车,商贸零售,餐饮旅游,家电,纺织服装,医药,食品饮料,农林牧渔,银行,非银行金融,房地产,交通运输,电子元器件,通信,计算机,传媒,综合
2016-01-04,10.5,17.375,10.083333,15.666667,6.083333,19.458333,15.791667,10.875,20.583333,23.333333,18.666667,6.166667,7.208333,15.083333,17.541667,12.541667,15.541667,20.416667,20.791667,17.208333,11.041667,8.5,18.708333,8.458333,14.958333,20.375,19.583333,18.333333,14.125
2016-01-05,14.166667,16.0,10.166667,13.833333,5.125,19.25,15.958333,9.416667,22.208333,21.666667,18.875,8.666667,8.041667,13.416667,15.916667,12.166667,15.333333,20.875,16.416667,17.166667,14.333333,8.166667,17.666667,8.291667,15.208333,21.708333,19.166667,20.708333,15.083333
2016-01-06,14.75,15.541667,10.208333,14.166667,4.375,19.208333,16.333333,8.583333,21.958333,22.041667,16.958333,9.583333,7.208333,12.75,19.833333,11.75,15.25,20.791667,18.25,17.375,14.625,7.75,17.0,7.958333,15.083333,19.5,19.083333,22.25,14.833333
2016-01-07,13.166667,14.791667,10.625,15.125,4.166667,17.25,14.916667,9.541667,21.041667,21.458333,16.75,9.333333,8.791667,13.416667,22.083333,12.0,12.5,19.375,20.5,15.75,18.375,9.416667,14.791667,9.25,15.416667,18.625,18.208333,23.125,15.208333
2016-01-08,11.5,15.458333,9.666667,14.625,4.833333,16.083333,13.5,10.166667,19.083333,22.166667,17.583333,10.0,11.0,13.083333,21.541667,9.375,20.25,20.291667,21.125,15.208333,18.083333,8.5,13.875,9.958333,13.458333,19.083333,17.25,23.458333,14.791667
2016-01-11,8.666667,15.208333,9.208333,13.833333,4.666667,17.125,14.208333,10.041667,17.041667,22.666667,17.833333,11.0,12.708333,12.583333,19.75,11.0,21.0,20.958333,22.083333,16.125,18.333333,9.583333,12.5,9.125,14.333333,19.583333,17.5,21.75,14.583333
2016-01-12,8.25,15.583333,8.916667,13.916667,4.958333,16.708333,13.208333,9.541667,17.833333,21.0,17.0,10.083333,13.083333,13.0,23.25,9.0,20.791667,17.958333,22.75,16.583333,18.958333,9.333333,14.125,9.083333,15.75,19.5,17.041667,22.958333,14.833333
2016-01-13,8.083333,16.0,9.25,13.916667,4.625,16.5,12.916667,10.041667,19.458333,21.333333,16.5,9.291667,12.166667,13.416667,22.083333,11.083333,21.166667,18.625,22.208333,18.083333,17.791667,10.375,13.458333,9.333333,14.833333,17.833333,16.541667,22.916667,15.166667
2016-01-14,8.083333,15.583333,8.416667,14.375,6.083333,15.666667,13.75,10.25,19.541667,21.416667,16.333333,9.125,14.75,12.416667,23.125,9.75,19.75,18.958333,20.791667,17.333333,18.333333,11.208333,13.5,10.083333,14.875,16.541667,16.333333,23.541667,15.083333
2016-01-15,7.916667,13.416667,8.666667,13.125,6.75,16.166667,12.666667,9.833333,20.625,20.0,16.541667,9.083333,14.583333,11.458333,21.208333,12.041667,20.25,15.833333,21.416667,18.041667,19.833333,13.125,14.375,12.75,15.291667,16.0,16.875,22.708333,14.416667
2016-01-18,9.583333,12.416667,8.333333,13.375,6.333333,13.708333,14.166667,10.5,19.375,19.0,17.875,9.708333,14.0,10.208333,23.25,12.166667,18.875,13.375,21.833333,21.125,20.333333,13.75,17.041667,13.541667,15.5,12.916667,16.333333,22.625,13.75
2016-01-19,10.375,11.583333,8.083333,13.5,6.291667,13.666667,17.0,8.75,21.916667,19.75,16.583333,9.041667,11.666667,9.166667,23.5,11.583333,20.0,13.166667,21.166667,21.208333,17.916667,16.125,20.666667,15.0,14.958333,12.791667,16.5,20.166667,12.875
2016-01-20,12.583333,12.083333,8.5,14.125,7.291667,14.208333,16.083333,7.833333,21.791667,18.916667,19.041667,9.208333,13.083333,8.291667,23.833333,13.75,18.166667,13.375,21.583333,20.25,18.458333,15.791667,20.791667,13.666667,14.541667,13.291667,15.5,18.625,10.333333
2016-01-21,13.333333,12.166667,8.041667,18.958333,6.291667,14.458333,16.875,6.583333,23.875,19.208333,19.708333,9.375,12.416667,8.625,23.625,14.25,12.916667,13.083333,18.208333,20.208333,20.541667,13.125,21.041667,13.375,13.541667,13.416667,15.833333,20.5,11.416667
2016-01-22,14.333333,12.666667,11.333333,17.625,4.875,13.625,16.333333,7.666667,25.041667,20.166667,18.958333,8.583333,12.75,7.833333,22.125,16.083333,11.875,16.875,17.041667,20.0,20.75,12.791667,21.333333,10.708333,11.75,15.291667,15.583333,19.833333,11.166667
2016-01-25,12.833333,12.833333,11.666667,18.541667,4.375,13.708333,16.166667,9.25,24.583333,21.5,17.541667,9.916667,12.458333,7.625,22.333333,14.916667,12.0,20.166667,16.083333,18.333333,20.916667,8.375,21.958333,11.25,10.541667,17.375,16.666667,18.291667,12.791667
