TrdDt,石油石化,煤炭,有色金属,电力及公用事业,钢铁,基础化工,建筑,建材,轻工制造,机械,电力设备,国防军工,汽车,商贸零售,餐饮旅游,家电,纺织服装,医药,食品饮料,农林牧渔,银行,非银行金融,房地产,交通运输,电子元器件,通信,计算机,传媒,综合
2014-01-02,12.181818,11.772727,21.272727,13.545455,14.863636,23.272727,16.636364,14.545455,11.181818,18.363636,11.818182,8.954545,13.5,13.818182,17.681818,16.636364,15.909091,18.454545,12.909091,14.0,13.181818,11.636364,18.681818,17.0,16.181818,13.272727,16.727273,15.909091,11.090909
2014-01-03,12.136364,11.909091,22.818182,13.363636,14.909091,22.818182,16.818182,15.727273,10.909091,18.0,13.909091,8.909091,13.681818,13.363636,17.863636,16.681818,15.909091,17.636364,12.909091,14.863636,13.818182,11.272727,19.0,17.136364,15.818182,13.5,13.954545,14.272727,11.090909
2014-01-06,11.545455,12.545455,22.227273,13.454545,13.818182,22.909091,16.363636,15.909091,11.0,17.818182,14.090909,8.818182,14.318182,14.954545,17.545455,16.363636,15.5,17.090909,12.181818,15.818182,13.545455,11.181818,20.681818,16.772727,15.681818,13.545455,14.954545,13.454545,10.909091
2014-01-07,12.272727,13.0,22.454545,13.818182,14.181818,22.863636,16.272727,16.045455,11.272727,16.818182,13.0,8.454545,14.772727,14.818182,18.545455,16.227273,15.545455,16.909091,12.727273,13.772727,13.727273,11.545455,20.818182,17.090909,15.863636,13.818182,14.727273,12.818182,10.818182
2014-01-08,12.909091,13.0,22.545455,13.136364,14.318182,22.636364,16.409091,17.909091,11.545455,16.909091,13.318182,8.454545,14.409091,14.454545,16.590909,16.409091,15.545455,17.863636,13.090909,13.545455,14.636364,11.454545,20.590909,17.454545,15.727273,13.818182,15.0,10.590909,10.727273
2014-01-09,13.045455,13.363636,22.772727,10.636364,14.545455,22.545455,16.454545,17.272727,11.909091,17.090909,13.636364,8.818182,15.227273,14.772727,16.909091,16.590909,15.727273,16.181818,13.454545,14.318182,14.363636,12.045455,19.863636,17.636364,16.181818,13.863636,15.590909,10.181818,10.0
2014-01-10,13.272727,13.409091,22.772727,10.545455,14.818182,22.727273,16.727273,18.272727,10.636364,16.409091,13.954545,8.636364,15.454545,14.863636,15.727273,12.954545,16.0,15.636364,13.181818,14.727273,14.454545,12.363636,20.090909,17.909091,16.454545,14.909091,16.545455,10.545455,11.0
2014-01-13,13.181818,13.045455,21.954545,10.454545,14.818182,21.727273,16.181818,17.272727,10.454545,16.409091,14.727273,8.545455,15.5,15.227273,15.909091,13.454545,16.045455,15.0,12.818182,14.318182,14.545455,15.5,20.181818,17.727273,16.272727,15.272727,16.909091,10.636364,10.909091
2014-01-14,12.772727,13.181818,21.863636,10.363636,14.454545,21.818182,15.909091,17.090909,10.090909,16.363636,13.409091,8.545455,14.545455,15.0,15.545455,15.272727,15.772727,17.363636,12.818182,14.5,16.227273,15.272727,20.363636,17.727273,16.454545,14.909091,16.363636,10.363636,10.636364
2014-01-15,13.090909,13.5,21.363636,10.454545,13.5,19.909091,16.0,17.590909,10.272727,16.318182,13.5,8.863636,15.090909,14.818182,14.727273,15.272727,15.636364,17.636364,13.0,14.454545,17.409091,15.5,20.454545,17.954545,16.363636,14.727273,15.909091,10.272727,11.409091
