TrdDt,石油石化,煤炭,有色金属,电力及公用事业,钢铁,基础化工,建筑,建材,轻工制造,机械,电力设备,国防军工,汽车,商贸零售,餐饮旅游,家电,纺织服装,医药,食品饮料,农林牧渔,银行,非银行金融,房地产,交通运输,电子元器件,通信,计算机,传媒,综合
2011-04-06,-1421.7789072825065,-483.083184401513,-738.7013823621114,-2198.260422951898,-433.1735004991388,-2100.5800747182834,-575.6265190372883,-1311.6019992163344,-3955.0674532059097,-2079.9186111123945,-84745.90368855133,-1666.6425180610656,-9630.236647808844,-2160.597982362777,-639.8829285587141,-831.9717878946877,-2775.076302170379,-4159.382044186474,-1366.130951602261,-7847.951835904733,-357.1247797782232,-1037.4434581838955,-290.95642868301667,-6961.44269299964,-1423.147444380771,-90.68897751211536,-3872.4908023509097,-775.1280564909922,-5265.560076501302
2011-04-07,-1413.4225014885087,-482.84108598933005,-737.2749951421844,-2217.207879342475,-434.03083915924947,-2057.416539698443,-613.6978544004955,-1328.4068795303065,-3938.2898061470846,-6464.447182597174,-84733.60938506958,-1677.1852647233964,-9337.133371630305,-2457.626308593763,-639.8829285587141,-856.1244261528882,-2985.8071031615737,-3468.4215796298417,-1366.0222378241212,-7847.951835904733,-352.3944919543238,-1034.5719506944872,-283.66522735223856,-7280.794925980563,-1523.6743904884274,-89.14603802917293,-3894.5831884677673,-829.5590996203575,-798.8934098418392
2011-04-08,-1440.4426783247372,-483.8992387555055,-745.0147291806719,-2212.524458183172,-519.1871795703232,-2120.2958284197944,-634.9075516786734,-1331.2207589467844,-3925.733284407952,-6460.91978414494,-84997.20376595287,-1678.0757140825292,-9393.818947809721,-2456.9733434356203,-703.969402290896,-857.8556878640983,-2981.1967903217037,-4034.0339197685416,-1429.4860083865149,-9301.623632991725,-354.4199039208243,-1036.2277240944588,-300.27775311192556,-7366.934713458145,-95466.34669360354,-196.40446418588374,-3962.3998969102186,-864.7054105217428,-795.086736349097
2011-04-11,-1440.1882733983462,-484.1157214550197,-744.6554606706599,-2211.8116153229316,-517.2041444856978,-2119.3189530113427,-634.4697566745045,-1331.35216317621,-3925.4154139876405,-6460.444592053252,-84997.2115402165,-1678.1096925167137,-9393.494080784087,-2452.434747689758,-703.7940587328725,-857.4293988784447,-2980.736282060904,-4034.128003966206,-1431.704868506721,-9302.004764195472,-354.22111637928083,-1035.7659512778828,-298.39947541241895,-7366.76972786169,-95466.3893364933,-195.91462383814542,-3962.3459965441075,-864.7271992540727,-791.9516376583355
2011-04-12,-1440.6936255139433,-484.1258333065173,-744.7655047837894,-2216.833847248062,-517.6788562276287,-2120.0331359887928,-635.0745973655527,-1331.5911500556128,-3926.1847881462622,-6460.095269699809,-84997.39023193438,-1678.51961832443,-9393.608101988444,-2452.6485453060955,-704.170560793298,-859.1283920379383,-2980.7027603851466,-4034.753410473025,-1432.0999810078627,-9305.836460191696,-352.5900593635834,-1035.9896455780206,-298.9325800093311,-7371.634768557077,-95466.8213990508,-195.41540008660917,-3962.868631837906,-865.3138565460713,-793.9351633222856
2011-04-13,-1464.0587265434422,-734.396014698558,-749.4989140834,-2338.229639549012,-521.7546034651187,-2119.9454381386154,-671.681020568091,-5859.890432744745,-4113.939772987187,-6706.350450030093,-85710.02914427796,-1678.4341478067336,-9393.5512447043,-2452.5168023053143,-719.0600576327424,-905.0611716103933,-3059.6804859804806,-4034.6541063656787,-1711.9275777400846,-9305.725594802747,-352.5478851751299,-1163.4362396848155,-298.8787252008807,-7465.910221709446,-95466.73544162727,-195.19163748062562,-3962.752967805693,-1778.7779107652464,-831.1287787663118
2011-04-14,-1462.7152580827649,-600.8057563201463,-745.5029333443889,-2297.891368788541,-510.9094723220428,-2119.9718343825193,-653.3140670461815,-5859.559708263573,-4114.1835294935645,-6705.571886817028,-85709.82324962452,-1677.9741841770108,-9393.014970424865,-2452.0290606546273,-718.1226491451828,-904.175624289435,-3059.235352687236,-4034.9223861821297,-1707.2202204633413,-9305.565074194235,-346.35195655601655,-1160.7927740292596,-289.4258374484906,-7455.048401824561,-95466.38946160571,-194.4686201623803,-3962.0135014611405,-1776.791088647389,-823.7566839637998
2011-04-15,-1466.0126799333195,-600.5408404337246,-745.4011876480771,-2307.1808029186723,-513.1514870024274,-2154.7171551093356,-652.592305563697,-5862.801972488206,-4116.4956981033465,-6703.858558690901,-85709.28001714709,-1677.0112290756,-9373.99963865656,-2477.3152674809617,-718.0670855712928,-903.158007719513,-3070.1206004130545,-4033.536996196873,-1706.2497787360126,-9307.1622640261,-296.6102858959321,-1151.9103781141728,-338.27598585065266,-6956.2965116505975,-95463.28402448748,-195.50304431905406,-3957.140638257759,-1758.4199160620622,-884.4056949327778
2011-04-18,-1462.6493320567185,-600.1281937156382,-745.9619318656522,-2307.897371970925,-3466.241295607999,-2163.555790859988,-653.220938604399,-5863.260280561499,-4278.980544002124,-6703.719012022519,-85710.63187459887,-1684.6033104291284,-9375.618424315027,-2476.0153503198435,-811.5869689619151,-901.9528473764024,-3069.54104949137,-4122.018577895491,-1703.7894535913956,-9518.833862125444,-297.2726317471033,-1152.3339702158448,-343.3437743778425,-6961.252785685407,-95464.1677988579,-196.52539649644868,-3959.478149579576,-1759.0770545331243,-942.5179165965694
2011-04-19,-1461.9052505285727,-600.0777317148747,-745.9372159525022,-2307.952248155402,-3466.0328577330115,-2164.3697797130367,-653.3200169724229,-5863.489879855844,-4278.882405301729,-6703.594053401467,-85710.79105697518,-1684.570183075144,-9375.481946008264,-2476.494990574469,-811.6190225365433,-903.7869240939438,-3070.508246439421,-4122.843456028763,-1703.6633051922454,-9519.155478267092,-297.18117480785475,-1152.277811137026,-342.0167131174746,-6961.286986980416,-95464.69695124427,-196.3495332293532,-3960.293994097488,-1759.6095458888972,-942.4189903299546
2011-04-20,-1462.190846256381,-600.2481136959955,-750.7923670314682,-2309.9197794318447,-3466.256017882544,-2164.5393748559004,-655.5192264489807,-5864.204617382074,-4285.985365765567,-6706.174976519912,-85720.49351223375,-1685.772164977253,-9377.40717452183,-2484.6648587461445,-812.6993913064545,-904.91735763895,-3071.0084986162274,-4122.784392612049,-1724.77500132608,-9547.08518889493,-297.38435768049743,-1152.6980522078836,-342.1771256046771,-7038.892635499455,-95472.14716889885,-214.6361135402071,-3960.2677634364472,-1771.4879520196698,-945.4043498102396
2011-04-21,-1462.7274627874865,-602.4405475466821,-668.3589724140788,-2311.334612942623,-3471.324118523122,-2158.9118075688834,-652.9648192379957,-5863.496989464812,-4234.287612167472,-6703.9409313638325,-85715.93823574981,-1637.4597271718947,-9365.092546402779,-2483.3285581342125,-810.7010452204513,-906.2558084375335,-3063.184134231956,-3976.2481347465914,-1713.684181786282,-9525.86661847853,-296.55484588904164,-1152.1525872067418,-352.8598179491797,-7081.628647515977,-95476.89888134725,-214.00066876231136,-3959.7552751819244,-1767.7945123527431,-939.335313940138
2011-04-22,-1312.9120351396023,-497.1867712807751,-654.096806615387,-2263.152768055512,-3447.991595500674,-2159.0183308584797,-586.8356413374348,-5840.87637499827,-4234.827396302327,-6031.989293289128,-85596.14741912785,-1453.714669931934,-5505.610394979272,-2483.6455044208255,-695.7251296823259,-907.4717848714271,-1537.4391666094525,-3594.0451813313607,-1659.8654961181503,-5632.932550449043,-280.92860723580884,-1102.4883710643967,-326.76938247186047,-6739.728161149722,-95401.47024087438,-209.43057748205834,-2571.04550684497,-1742.8306503076558,-783.9532852561356
2011-04-25,-1312.8973770383905,-497.17937747819485,-654.096806615387,-2263.1601020930457,-3448.0097452676237,-2159.0107501251337,-586.8993660906851,-5841.008047838603,-4234.7965994776205,-6031.998907543119,-85596.18016039292,-1453.7260297861962,-5505.783602841042,-2484.3434821820974,-695.7258068310468,-907.3847431277878,-1537.4306724009582,-3594.1647425720575,-1661.2838295572271,-5632.892948896666,-281.70174681043335,-1102.613010308645,-326.77346200830544,-6739.73688091602,-95401.47974663951,-209.45196515124465,-2571.0553828661446,-1742.8350203821005,-783.9376230091807
2011-04-26,-1310.594992335727,-496.9434790387227,-653.1696577702685,-2261.441535406855,-3446.349912545823,-2157.639061180357,-583.1008830748268,-5841.436919949724,-4228.280001034352,-6030.4106070720045,-85594.77817338622,-1451.9488436073134,-5494.505041287719,-2483.997253265792,-694.9748312627509,-906.3211548186803,-1531.2772923096893,-3594.323363665751,-1661.2713964531858,-5628.63061079243,-283.0924819641812,-1101.711159638065,-327.35350598299283,-6737.232684600748,-95398.63544933763,-208.34848183155543,-2570.5368866553777,-1741.4718212881462,-781.9596118951998
2011-04-27,-1310.9413927271119,-497.5269707788345,-653.5107223124621,-2262.42274481657,-3446.930392611528,-2158.0161631901665,-583.443957973278,-5842.019964712088,-4228.640475280791,-6030.684157630423,-85595.08791916499,-1452.2067087930272,-5494.831205941976,-2484.443093645604,-692.996417589191,-906.1515265074466,-1531.7206013941122,-3594.6275250744125,-1660.9576100099778,-5629.098364048001,-282.84659336197774,-1102.4810568973542,-326.90481292353803,-6737.830482144967,-95398.92328429906,-208.59450655497082,-2570.867855671165,-1741.8002832714217,-782.41031632375
2011-04-28,-1310.602437214688,-496.8583603754149,-653.1664689130971,-2260.055220926396,-3446.6890646347692,-2157.668281048652,-583.0973155517629,-5841.654674316031,-4228.12359038151,-6030.319627935626,-85594.15955896088,-1451.9335253911981,-5494.362735725599,-2483.560142732069,-692.4821769324315,-902.7772159919663,-1531.2427863135424,-3593.945100995764,-1660.3581316014381,-5628.6825395518645,-281.5097423803263,-1100.6714839692468,-326.40230227383745,-6736.761512980662,-95398.35659419167,-208.02453824300733,-2570.276822318496,-1741.3193535568955,-782.0691672086859
2011-04-29,-1346.2384712045957,-518.8305008523481,-785.2249066725233,-2224.138896235909,-3424.979400309254,-2825.475462667112,-594.5666575584708,-6082.288005556126,-5392.358324215685,-7006.866468892652,-85646.88568572144,-1446.8016236958374,-5462.159891207508,-11477.708125300313,-776.9997223934456,-901.2015687119654,-1510.94053702847,-3664.4447714533926,-1658.490105536594,-5702.357262362404,-278.7491378407896,-1107.4750480585676,-227.56944994103762,-6713.9403318783,-95388.9603834645,-216.62991305615085,-2641.0604730537975,-1760.178791316727,-910.341088234515
2011-05-03,-1353.9335138730792,-676.843807355848,-785.0541215640612,-2205.563407039953,-3440.1681967068644,-2811.809415385641,-634.6484421104559,-6150.186450129964,-5392.358324215685,-7003.057589335791,-85639.19286925072,-1435.6928488591327,-5229.648806757812,-11685.430268899523,-826.6556851165641,-936.9889412326787,-1490.182908279671,-5041.546708758933,-1704.122455482028,-5811.285699273871,-271.3063855492754,-1118.7426452535867,-225.90104242318213,-6728.154185817709,-95849.9371410422,-238.63632685387182,-2636.2025780394483,-1813.386108478748,-898.4111607657319
2011-05-04,-1350.7042521543165,-673.3296623655199,-782.0875254715171,-2197.0673046937873,-3438.0150474667475,-2805.276430335233,-631.3598683701489,-6135.216470825047,-5388.256314635099,-6999.984562841229,-85637.07919201661,-1432.458109463741,-5220.247231221985,-11680.094820005846,-820.3076210279952,-933.9476711731702,-1484.0331732959971,-5029.283783210328,-1700.2026213896681,-5805.808392298154,-271.05546599338106,-1117.583968532841,-225.3474538931267,-6725.469144524647,-95847.23904693476,-237.1901775191529,-2629.1195755507124,-1811.5231920185445,-890.6511791211823
2011-05-05,-1324.6121037070154,-612.2698430029116,-719.3288782283399,-2187.4562689768186,-3429.586241492961,-2547.5645918192686,-610.6788046857646,-6092.2061519218,-5390.359045703077,-6983.4316483471775,-85630.04469357236,-1429.4794234815772,-5199.858183818867,-11280.842459912716,-762.8073994628509,-840.9290445365547,-1243.6676961791343,-3809.291225002031,-1700.6036267478094,-5797.615044655402,-266.60249792946547,-1114.4714781181203,-190.99145023220316,-5996.158343458091,-95831.11434507601,-234.73916649928435,-1336.7345281532034,-1804.6597637133552,-880.4983041703977
